the_geom,cost_estimate,the_geom_webmercator,latitude,longitude,borough,job_type,permit_type,job_number,bin_number,job_type2,cartodb_id,enlargement_flag_yes_no,square_footage,permit_issuance_date,permit_expiration_date,job_location_house_number,job_location_street_name,community_board,applicant_business_name,proposed_occupancy_class,proposed_stories,proposed_dwelling_units
0101000020E6100000000000C0927452C0000000A05C4D4440,184112,0101000020110F0000AF2C89BF29595FC16FD1DDC70CE65241,40.6043891906738,-73.8214569091797,Queens,NB,New Building,420659415,4296987,NB,1135,false,1244,2/14/2018,1/23/2019 12:00,32,WEST 12TH ROAD,414,D HANDY INC,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,1
0101000020E610000000000000FD7F52C000000080F54F4440,1228548,0101000020110F00002B25DF7B8D6C5FC10D4256A7F4E85241,40.6246795654297,-73.9998168945312,Brooklyn,NB,New Building,321249911,3142294,NB,1573,false,8301,3/22/2018,3/20/2019 12:00,1374,65TH STREET,310,AMERICAN PRO BUILDERS*,MERCANTILE,3,
0101000020E610000000000000477F52C000000080A2504440,225300,0101000020110F000021D2AB56586B5FC15C17F43EB6E95241,40.6299591064453,-73.9887084960938,Brooklyn,A1,ALT 1 Enlargement,321096602,3129861,A1,1707,true,3595,8/14/2018,9/9/2018 12:00,1536,52 ST,312,PARAMOUNT FRAMERS INC,ASSEMBLY: OTHER,3,1
0101000020E6100000000000C07E8552C0000000E03E514440,1000000,0101000020110F00007F4A0B16E8755FC13F35593F65EA5241,40.6347312927246,-74.0858612060547,Staten Island,A1,ALT 1 Enlargement,520290694,5150536,A1,1837,true,25800,7/3/2018,7/3/2019 12:00,307,VICTORY BLVD,501,RENOVATE INC,EDUCATIONAL,3,0
0101000020E610000000000000868052C0000000E064514440,298000,0101000020110F000045623131766D5FC1292894C68FEA5241,40.6358909606934,-74.0081787109375,Brooklyn,A1,ALT 1 Enlargement,320689545,3140557,A1,1891,true,6227,7/18/2018,7/27/2019 12:00,821,59 STREET,312,D Z IMAGE INC,BUSINESS,6,
0101000020E6100000000000606C7552C0000000006E554440,53280,0101000020110F0000C25BF9679B5A5FC17A9EA64B14EF5241,40.6674194335938,-73.8347396850586,Queens,NB,New Building,421520802,4617381,NB,2664,false,360,10/24/2017,10/2/2018 12:00,150-60,COHANCY STREET,410,ALL TIME CONSTRUCTION INC,UTILITY / MISCELLANEOUS,1,
0101000020E6100000000000E0387A52C00000008086564440,658156,0101000020110F000048CC1323C2625FC1591271644EF05241,40.6759796142578,-73.9097213745117,Brooklyn,NB,New Building,301980328,3038609,NB,2948,false,4447,10/25/2017,10/25/2018 12:00,2284,ATLANTIC AVENUE,316,PAWAR BUILDERS LLC,RESIDENTIAL 1-2 FAMILY HOUSES,4,2
0101000020E610000000000040B47B52C0000000A0A4564440,1286120,0101000020110F00001F9E2B8B46655FC10952C22070F05241,40.6768989562988,-73.9328765869141,Brooklyn,NB,New Building,321305592,3826326,NB,2978,false,8690,6/11/2018,4/16/2019 12:00,71,SCHENECTADY AVENUE,308,GREENSIDE CORP,BUSINESS,1,
0101000020E6100000000000C0D47552C0000000A008574440,570657,0101000020110F0000C13595B24C5B5FC155EAE21DE0F05241,40.6799507141113,-73.8411102294922,Queens,A1,ALT 1 Enlargement,421200266,4191192,A1,3093,true,7551,1/31/2018,1/31/2019 12:00,9708,ROCKAWAY BOULEVARD,410,NADKOS INC,BUSINESS,2,
0101000020E6100000000000E0697D52C00000002071574440,1170532,0101000020110F0000ADC6CBE42D685FC151E3862655F15241,40.6831398010254,-73.959587097168,Brooklyn,NB,New Building,320623820,3418380,NB,3230,false,7909,3/9/2018,9/1/2018 12:00,65,IRVING PLACE,302,TCS CONSTRUCTION CORP,RESIDENTIAL: APARTMENT HOUSES,4,6
